study,database,studyID,taxon,taxon_new,realm,climate,study_name,min_lat,max_lat,min_long,max_long,cent_lat,cent_long,mean_grain_m2,sd_grain_m2,extent_km2,start_year,end_year,n_years,duration,min_samp,max_samp,nsamp_same,sprich,sprich_range,Psprich_range,continent,ocean
bt_110,bt,110,benthos,Benthos,Marine,Temperate,Marine Nature Conservation Review (MNCR) and associated benthic marine data held and managed by JNCC (EurOBIS),49.8147,60.7699,-7.19322,-0.903563,54.10704,-4.426256141414141,NA,NA,386393.9,1976,1995,13,20,36,107,FALSE,2466,1886,0.7648,NA,Irish Sea
bt_112,bt,112,fish,Fish,Marine,Temperate,NOAA Southeast Fishery Science Center (SEFSC) Commercial Pelagic Observer Program (POP) Data (SEFSC_POP),10.5,51.48,-97.26,-42.68,30.14206530555491,-78.17437162522306,NA,NA,17525478.6,1992,2005,14,14,6308,11208,FALSE,19,17,0.8947,NA,Atlantic Ocean
bt_113,bt,113,marine invertebrates,Invertebrates,Marine,Temperate,Southampton Oceanography Center Discovery Collections Midwater Database (collections from Discovery sailings - 1979 only year with furthest afield data),31.8633,60.2709,-35.9967,-0.891,40.865068484848486,-21.189134303030304,NA,NA,4948206.1,1971,1997,6,27,80,187,FALSE,929,674,0.7255,NA,Atlantic Ocean
bt_117,bt,117,marine invertebrates,Invertebrates,Marine,Temperate,South Western Pacific Regional OBIS Data Asteroid Subset (South Western Pacific OBIS),-52.01,-38.66,-179.96,179.98,-44.812748091603055,173.66165394402034,NA,NA,1542327.4,1963,2002,7,40,26,75,FALSE,64,57,0.8906,NA,Pacific Ocean
bt_119,bt,119,fish,Fish,Marine,Temperate,DFO Maritimes Research Vessel Trawl Surveys Fish Observations (OBIS Canada),41.497,47.18333,-67.82825,-57.104,43.788375966190344,-62.385187823853556,NA,NA,312849.9,1978,2009,32,32,182,608,FALSE,214,171,0.7991,NA,Atlantic Ocean
bt_121,bt,121,fish,Fish,Marine,Tropical,CRED Rapid Ecological Assessments of Fish Belt Transect Surveys and Fish Stationary Point Count Surveys in the Pacific Ocean 2000-2010 (OBIS-USA),-0.37374,28.4234,-178.331,-158.003,19.0618595,-167.61090000000002,NA,NA,5562945.6,2001,2010,6,10,7,17,FALSE,53,47,0.8868,NA,Pacific Ocean
bt_123,bt,123,fish,Fish,Marine,Temperate,Maine Department of Marine Resources Inshore Trawl Survey 2000?2009 (OBIS-USA),42.8524,44.7723,-70.8009,-66.9333,43.86359653349001,-69.0312330787309,NA,NA,21404.6,2000,2009,10,10,77,198,FALSE,144,127,0.8819,NA,Gulf of Maine
bt_125,bt,125,fish,Fish,Marine,Temperate,MARMAP Chevron Trap Survey 1990-2009 (OBIS-USA),29.84,34.61,-80.89,-76.09,32.478923512747876,-78.81691218130311,2.5500000000000003,NA,79561.1,1990,2000,9,11,95,153,FALSE,82,77,0.939,NA,Atlantic Ocean
bt_135,bt,135,fish,Fish,Marine,Tropical,Previous_fisheries_REVIZEE_Program (Tropical and Subtropical Western South Atlantic OBIS),-12.5833,-10.35,-37.9667,-36.1333,-10.757835897435898,-36.58632222222222,NA,NA,7148.3,1977,1986,3,10,30,67,FALSE,17,13,0.7647,NA,Atlantic Ocean
bt_147,bt,147,marine invertebrates,Invertebrates,Marine,Temperate,South Western Pacific Regional OBIS Data Bryozoan Subset (South Western Pacific OBIS),-47.35,-31.6,165.775,178.02,-39.397540322580646,172.84149731182796,NA,NA,922896.9,1961,1993,16,33,9,53,FALSE,439,371,0.8451,NA,Tasman Sea
bt_148,bt,148,fish,Fish,Marine,Temperate,South Western Pacific Regional OBIS Data provider for the NIWA Marine Biodata Information System (South Western Pacific OBIS),-53.9803,-33.8425,-179.997,179.998,-42.2483293902133,175.26576496863237,NA,NA,2263350.6,1981,2004,18,24,589,1921,FALSE,405,380,0.9383,NA,Pacific Ocean
bt_152,bt,152,marine invertebrates,Invertebrates,Marine,Temperate,CMarZ (Census of Marine Zooplankton)-Asia Database,37,51.4,-180,180,43.35757575757576,-179.56363636363636,NA,NA,503560.5,1979,1988,8,10,19,27,FALSE,17,12,0.7059,NA,Pacific Ocean
bt_162,bt,162,benthos,Benthos,Marine,Temperate,EPA'S EMAP Database,24.566,45.185,-97.705,-66.95,34.64678437843784,-81.53982453245324,0.044,NA,2491694.6,1991,2004,9,14,229,758,FALSE,2793,1389,0.4973,North America,NA
bt_163,bt,163,benthos,Benthos,Marine,Temperate,North Pacific Groundfish Observer (North Pacific Research Board),51.21,61.52,-179.5,179.83,56.67096153846154,-166.46780542986426,NA,NA,1995609.7,1993,2004,12,12,815,1035,FALSE,351,241,0.6866,NA,Bering Sea
bt_166,bt,166,all,Multiple taxa,Marine,Temperate,PIROP Northwest Atlantic 1965-1992 (SEAMAP),25.4833,79.7833,-94.8667,-40.35,47.07662124874815,-63.505927299098666,NA,NA,16697146.9,1969,1987,9,19,2066,3950,FALSE,133,101,0.7594,NA,Gulf of Saint Lawrence
bt_169,bt,169,all,Multiple taxa,Marine,Temperate,CalCOFI and NMFS Seabird and Marine Mammal Observation Data. 1987-2006 (SEAMAP),29.7721,40.0913,-126.474,-117.234,34.21596198286727,-120.93607125244297,900000,NA,883658.3,1987,2006,18,20,1269,4546,FALSE,182,152,0.8352,NA,Pacific Ocean
bt_172,bt,172,all,Multiple taxa,Marine,Temperate,POPA cetacean. seabird. and sea turtle sightings in the Azores area 1998-2009 (OBIS SEAMAP),34.9,40.5,-32.192,-21.6667,38.36119939910892,-27.77908722300387,NA,NA,427845.5,1998,2009,12,12,1521,4115,FALSE,46,33,0.7174,NA,Atlantic Ocean
bt_173,bt,173,marine invertebrates,Invertebrates,Marine,Temperate,Marine Biological Sample Database. JAMSTEC (OBIS_JAPAN),23.9084,44.8873,122.698,144.765,31.858908413001913,134.90346653919693,NA,NA,2653698.5,2000,2011,9,12,17,50,FALSE,518,139,0.2683,NA,Philippine Sea
bt_176,bt,176,marine invertebrates,Invertebrates,Marine,Temperate,Atlantic Zone Monitoring Program Maritimes Region (AZMP) plankton datasets. In Fisheries and Oceans Canada - BioChem archive (OBIS Canada),40.93,48.95,-69.32,-56.14,44.4622650379107,-62.38644532434709,0.442,NA,562428.4,1999,2010,12,12,89,160,FALSE,302,165,0.5464,NA,Atlantic Ocean
bt_178,bt,178,fish,Fish,Marine,Temperate,Pacific Shrimp Trawl Survey (OBIS Canada),48.06915,55.47165,-131.1792,-123.1293,50.18967380332987,-126.35221243496358,NA,NA,204004.9,1977,2007,14,31,174,610,FALSE,437,307,0.7025,North America,NA
bt_180,bt,180,fish,Fish,Marine,Temperate,ECNASAP - East Coast North America Strategic Assessment (OBIS Canada),32.65,55.14,-81.4,-43.72,45.4013903704422,-60.470373593871216,333360,NA,3667846.3,1970,1994,24,25,907,2458,FALSE,273,269,0.9853,NA,Atlantic Ocean
bt_182,bt,182,all,Multiple taxa,Marine,Temperate,Snow crab research trawl survey database (Southern Gulf of St. Lawrence. Gulf region. Canada) from 1988 to 2010 (OBIS Canada),45.9011,48.8781,-65.6408,-60.5326,47.52812299212599,-62.7356975,6420.267000000001,NA,71092.8,1990,2009,19,20,199,322,FALSE,33,32,0.9697,NA,Gulf of Saint Lawrence
bt_183,bt,183,marine invertebrates,Invertebrates,Marine,Temperate,DFO Maritimes Research Vessel Trawl Surveys Invertebrate Observations (OBIS Canada),41.0766,47.1781,-69.8868,-56.5898,43.86205247752938,-62.27861382807098,NA,NA,366196.4,1999,2011,13,13,158,546,FALSE,16,13,0.8125,NA,Atlantic Ocean
bt_187,bt,187,benthos,Benthos,Marine,Temperate,National Benthic Infaunal Database (NOAA NBI),24.322,48.99,-123.425,-70.226,37,-75,NA,NA,7653042.4,1997,2006,5,10,91,304,FALSE,2788,1645,0.59,NA,Atlantic Ocean
bt_189,bt,189,fish,Fish,Marine,Tropical,St. John. USVI Fish Assessment and Monitoring Data (2002 - Present) (NOAA-CCMA),18.2991,18.3736,-64.8005,-64.6588,18.338336789631107,-64.72153619142573,100,NA,91.2,2001,2010,9,10,49,127,FALSE,229,205,0.8952,South America,Caribbean Sea
bt_190,bt,190,fish,Fish,Marine,Tropical,St. Croix. USVI Fish Assessment and Monitoring Data (2002 - Present) (NOAA-CCMA),17.7568,17.8107,-64.645,-64.5909,17.783177236363635,-64.6192992,100,NA,30.6,2001,2010,10,10,72,188,FALSE,232,201,0.8664,NA,Caribbean Sea
bt_191,bt,191,marine invertebrates,Invertebrates,Marine,Temperate,NEFSC Benthic Database (OBIS-USA),38.3,45,-75.167,-64.85,41.65638387356014,-68.66872193945888,NA,NA,316334,1955,1968,11,14,104,719,FALSE,1380,809,0.5862,NA,Atlantic Ocean
bt_195,bt,195,birds,Birds,Terrestrial,Temperate,Breeding birds survey North America,26.3,54.0833,-124.4,-61.5667,40.23994054669704,-89.5625006833713,25427151.62,NA,11251127.1,1978,2007,30,30,404,436,FALSE,383,378,0.9869,North America,NA
bt_196,bt,196,benthos,Benthos,Marine,Polar,SOTEAG Rocky Shore Survey (Sullom Voe),60.3568,60.493,-1.3903,-1.24063,60.45463870967742,-1.3074329032258065,0.3,NA,49.5,1976,2012,35,37,15,28,FALSE,206,131,0.6359,Europe,NA
bt_200,bt,200,marine invertebrates,Invertebrates,Marine,Temperate,NEFSC Benthic Database (OBIS-USA),37.183,43.317,-74.25,-66.567,40.086969426751594,-72.25455159235669,NA,NA,273022.5,1962,1985,10,24,56,239,FALSE,1385,886,0.6397,NA,Atlantic Ocean
bt_204,bt,204,benthos,Benthos,Marine,Temperate,MACROBEL Long term trends in the macrobenthos of the Belgian Continental Shelf,51.09826,51.40939,2.437555,2.923611,51.249505110132155,2.634771991189427,0.103,NA,800.3,1977,1997,6,21,23,88,FALSE,206,155,0.7524,NA,North Sea
bt_213,bt,213,benthos,Benthos,Marine,Temperate,Northeast Fisheries Science Center Bottom Trawl Survey Data (OBIS-USA),34.6221,44.78333,-77.06667,-64.33334,40.487451186056184,-70.69790275624787,NA,NA,513547.8,1968,2008,41,41,507,1191,FALSE,965,678,0.7026,NA,Atlantic Ocean
bt_214,bt,214,terrestrial plants,Plants,Terrestrial,Temperate,Long-term growth mortality and regeneration of trees in permanent vegetation plots in the Pacific Northwest 1910 to present,42.15192,47.99045,-123.9929,-121.5377,45.28991693430657,-122.51496350364964,10000,NA,96127.4,1940,2009,42,70,14,75,FALSE,30,29,0.9667,North America,NA
bt_217,bt,217,birds,Birds,Terrestrial,Temperate,Landbird Monitoring Program (UMT-LBMP),44.08333,48.99887,-117.1309,-109.4647,47.003331785091,-113.84804407878335,NA,NA,230589.8,1994,2004,7,11,3173,5369,FALSE,234,205,0.8761,North America,NA
bt_229,bt,229,fish,Fish,Freshwater,Temperate,Upper Little Tennessee River Biomonitoring Program Database - LTWA Biomonitoring Database,34.97041,35.36319,-83.53843,-83.2676,35.17673529411765,-83.40966130718954,NA,NA,655.9,1990,2013,19,24,15,53,FALSE,66,61,0.9242,North America,NA
bt_232,bt,232,fish,Fish,Marine,Polar,Pelagic Fish Observations 1968-1999,-69.43833,-59.98333,51.91833,90.173330000000007,-66.1575357375,71.9307043625,NA,NA,1438106,1981,1993,7,13,50,244,FALSE,91,68,0.7473,NA,Southern Ocean
bt_237,bt,237,freshwater invertebrates,Invertebrates,Freshwater,Temperate,Madison Wisconsin Lakes Zooplankton 1976 - 1994 - old net,42.96075,43.09885,-89.40545,-89.24475,43.03279,-89.33282750000001,NA,NA,14.8,1976,1985,10,10,4,4,TRUE,77,54,0.7013,North America,NA
bt_247,bt,247,freshwater invertebrates,Invertebrates,Freshwater,Temperate,Zooplankton survey of Oneida Lake New York 1964 to present,43.17833,43.22111,-76.04444,-75.77083,43.19523,-75.910925,0.39999999999999997,NA,43.4,1975,2006,31,32,5,6,FALSE,28,18,0.6429,North America,NA
bt_252,bt,252,fish,Fish,Marine,Temperate,MARMAP Blackfish Trap Survey 1990-2009,31.67,33.49,-80.34,-78.23,32.62877906976744,-79.02813953488372,NA,NA,11225.3,1978,1989,11,12,24,59,FALSE,32,31,0.9688,NA,Atlantic Ocean
bt_253,bt,253,freshwater invertebrates,Invertebrates,Freshwater,Temperate,North Temperate Lakes LTER Zooplankton - Trout Lake Area 1982 - current,46.00275,46.04125,-89.701183,-89.606183,46.02113814285714,-89.64332842857144,NA,NA,24.3,1986,2014,29,29,7,7,TRUE,120,72,0.6,North America,NA
bt_271,bt,271,fish,Fish,Marine,Temperate,Santa Barbara Coastal LTER,34.391117,34.471767,-120.33355,-119.539317,34.42129637837838,-119.87428643243243,80,NA,195.1,2001,2014,14,14,33,37,FALSE,60,54,0.9,North America,NA
bt_272,bt,272,marine invertebrates,Invertebrates,Marine,Temperate,Santa Barbara Coastal LTER,34.044434,34.471817,-120.33349,-119.541693,34.35688690909091,-119.89226927272728,1,NA,1624.7,2004,2014,11,11,11,11,TRUE,36,32,0.8889,NA,Pacific Ocean
bt_273,bt,273,marine invertebrates,Invertebrates,Marine,Temperate,Santa Barbara Coastal LTER,34.04443,34.47182,-120.3335,-119.5417,34.35688727272727,-119.89227272727273,1,NA,1624.7,2004,2014,11,11,10,11,FALSE,24,20,0.8333,NA,Pacific Ocean
bt_274,bt,274,all,Multiple taxa,Marine,Temperate,Santa Barbara Coastal LTER,34.39112,34.47177,-120.3336,-119.5393,34.42189555555556,-119.87788888888889,40,NA,195.1,2001,2014,14,14,35,36,FALSE,130,80,0.6154,North America,NA
bt_278,bt,278,fish,Fish,Marine,Temperate,South Western Pacific Regional OBIS Data provider for the NIWA Marine Biodata Information System (South Western Pacific OBIS),-51.6334,-34.1763,-179.958,178.534,-41.07128194308145,174.68061629048086,NA,NA,1496936.3,1979,1990,7,12,203,573,FALSE,224,216,0.9643,NA,Cook Strait
bt_286,bt,286,fish,Fish,Marine,Temperate,Maine Department of Marine Resources Inshore Trawl Survey 2000?2009 (OBIS-USA),42.8524,44.7537,-70.7548,-66.9333,44.025741622574955,-68.64826666666667,NA,NA,20205.7,2000,2009,9,10,5,42,FALSE,27,18,0.6667,NA,Gulf of Maine
bt_288,bt,288,fish,Fish,Marine,Temperate,DFO Maritimes Research Vessel Trawl Surveys Fish Observations (OBIS Canada),41.5,47.183331,-67.828251,-57.10433,43.916466882995024,-62.381418454423596,NA,NA,312070.1,1972,1995,20,24,112,397,FALSE,173,142,0.8208,NA,Atlantic Ocean
bt_290,bt,290,fish,Fish,Marine,Temperate,CSIRO Marine Data Warehouse (OBIS Australia),-43.5417,-34.4167,144.342,151.85,-39.941238285714284,149.08692,NA,NA,287475.2,1978,1988,4,11,17,83,FALSE,172,170,0.9884,NA,Tasman Sea
bt_291,bt,291,fish,Fish,Marine,Temperate,CSIRO Marine Data Warehouse (OBIS Australia),-43.525,-16.3417,115.1,149.683,-30.783465432098765,132.86005349794237,NA,NA,2964423.6,1978,1988,2,11,100,143,FALSE,360,348,0.9667,Australia,NA
bt_292,bt,292,fish,Fish,Marine,Temperate,CSIRO Marine Data Warehouse (OBIS Australia),-43.5417,-39.2333,144.333,148.867,-41.962509375,147.3298125,NA,NA,107182.2,1978,1989,4,12,9,26,FALSE,99,98,0.9899,Australia,NA
bt_297,bt,297,marine invertebrates,Invertebrates,Marine,Tropical,MCR LTERCoral Reef Long-term Population and Community Dynamics Other Benthic Invertebrates. ongoing since 2005,-17.580114,-17.473362,-149.922302,-149.760898,-17.5173745,-149.82724233333334,NA,NA,121.3,2005,2015,11,11,6,6,TRUE,10,10,1,Australia,Pacific Ocean
bt_300,bt,300,terrestrial invertebrates,Invertebrates,Terrestrial,Temperate,Insect Populations via Sticky Traps at KBS-LTER (Kellogg Biological Station. MI),42.40615,42.414790000000004,-85.377313,-85.368173,42.41010535348837,-85.37134445581395,NA,NA,0.6,1989,2013,25,25,176,215,FALSE,21,14,0.6667,North America,NA
bt_304,bt,304,terrestrial plants,Plants,Terrestrial,Temperate,Cape of Good Hope Permanent Plots,-34.339806,-34.206832,18.374421,18.463356,-34.271377333333334,18.42391815873016,50,NA,63.7,1966,1996,2,31,63,63,TRUE,418,418,1,Africa,NA
bt_354,bt,354,marine plants,Plants,Marine,Temperate,A database of marine phytoplankton abundance biomass and species composition in Australian waters,-49.8613,-14.4994,104.0598,158.6145,-31.804271984435797,147.9374027237354,NA,NA,12945405.4,1998,2013,4,16,31,201,FALSE,356,177,0.4972,Australia,NA
bt_356,bt,356,terrestrial plants,Plants,Terrestrial,Tropical,Long-term stem inventory data from tropical rain forest plots in Australia,-17.54569,-16.13658,145.07139,145.83122,-16.910064374999997,145.473895,5000,NA,7026.6,1976,2012,21,37,6,15,FALSE,388,373,0.9613,Australia,NA
bt_359,bt,359,fish,Fish,Marine,Temperate,SBC LTER Reef Kelp Forest Community Dynamics Fish abundance,34.391632,34.471817,-120.33349,-119.541693,34.426119375,-119.92751275,2,NA,189,2001,2012,12,12,7,8,FALSE,51,46,0.902,NA,Pacific Ocean
bt_374,bt,374,birds,Birds,Marine,Temperate,Monitoring site 1000 Shorebird Survey,24.3421,45.4048,124.2403,145.3711,34.93301174820144,136.08031300719423,NA,NA,1201169.7,2004,2014,11,11,100,123,FALSE,63,61,0.9683,Asia,NA
bt_375,bt,375,terrestrial invertebrates,Invertebrates,Terrestrial,Temperate,Surface of the earth wandering beetles survey data,31.38,44.37,131.19,143.51,38.19241379310345,138.69793103448276,50,NA,419082.1,2004,2014,11,11,17,24,FALSE,163,115,0.7055,NA,Sea of Japan
bt_418,bt,418,fish,Fish,Marine,Tropical,Long-term Monitoring of the Great Barrier reef,-23.890883,-14.5264,145.3514,152.668567,-19.276091808163265,148.7676030612245,NA,NA,253610.4,1995,2014,16,20,110,149,FALSE,241,241,1,NA,Great Barrier Reef
bt_428,bt,428,fish,Fish,Marine,Temperate,Long term monitoring of fish abundances from coastal SKagerrak,58.06379,59.89143,7.768994,10.83622,58.90449883040936,9.489157046783626,NA,NA,10354.1,1936,2015,75,80,84,117,FALSE,58,49,0.8448,NA,Skagerrak
bt_430,bt,430,fish,Fish,Freshwater,Temperate,The New Zealand Freshwater Fish Database - Electric fishing - Backpack,-47.05019,-35.08132,166.5563,176.1725,-42.65465565421854,171.7188060165975,NA,NA,468174.9,1992,2016,22,25,158,587,FALSE,57,47,0.8246,Australia,NA
bt_431,bt,431,fish,Fish,Freshwater,Temperate,The New Zealand Freshwater Fish Database - Traps- Gee Minnow traps,-46.44209,-34.41888,169.1643,176.3755,-40.40532931372549,172.9759570261438,NA,NA,409672.5,1997,2011,13,15,50,144,FALSE,39,34,0.8718,NA,Tasman Sea
bt_432,bt,432,fish,Fish,Freshwater,Temperate,The New Zealand Freshwater Fish Database - Observation (Spotlighting visual),-43.63385,-36.76785,169.7331,177.9025,-40.05723022292994,174.13211549893842,NA,NA,216445.6,1998,2012,14,15,31,162,FALSE,30,25,0.8333,NA,Tasman Sea
bt_466,bt,466,fish,Fish,Marine,Temperate,Trawl Survey Data from Rockall Scotland (1986 - 2008),55.82,58.93,-15.25,-3.63,57.385566640316206,-10.534104822134386,5000000,NA,152359.4,1986,2008,20,23,45,129,FALSE,90,89,0.9889,NA,Atlantic Ocean
bt_467,bt,467,fish,Fish,Marine,Temperate,Spatial and temporal organisation of a coastal lagoon fish community,40.54906,40.85558,-8.75833,-8.62697,40.674167777777775,-8.689536666666667,NA,NA,188.5,1987,1999,4,13,9,9,TRUE,72,71,0.9861,Europe,NA
bt_468,bt,468,benthos,Benthos,Marine,Temperate,A multi-decade time series of kelp forest community structure at San Nicolas Island California.,33.21615,33.27325,-119.5802,-119.4441,33.24008142857143,-119.518,NA,NA,45.7,1986,2011,21,26,6,7,FALSE,119,73,0.6134,North America,Pacific Ocean
bt_469,bt,469,benthos,Benthos,Marine,Temperate,A multi-decade time series of kelp forest community structure at the California Channel Islands.,33.46293,34.06438,-120.3875,-119.0268,33.89929375,-119.6193625,NA,NA,3466.5,1982,2011,30,30,13,32,FALSE,38,37,0.9737,NA,Pacific Ocean
bt_499,bt,499,marine invertebrates,Invertebrates,Marine,Temperate,Macrobenthos monitoring at long-term monitoring stations in the Belgian part of the North Sea between 1979 and 1999,51.189,51.46,2.7,3.05,51.35225,2.9,300000,NA,383.7,1985,1999,9,15,4,4,TRUE,158,116,0.7342,NA,North Sea
bt_500,bt,500,marine invertebrates,Invertebrates,Marine,Temperate,Macrobenthos monitoring at long-term monitoring stations in the Belgian part of the North Sea from 2001 on,51.189,51.58,2.45,3.4,51.40576875,3.025524375,300000,NA,1629.7,2001,2012,11,12,10,15,FALSE,298,202,0.6779,NA,North Sea
bt_505,bt,505,all,Multiple taxa,Marine,Temperate,"Fish and marine invertebrates from the Israeli Eastern Mediterranean sea  1990-4, 2000, 2008-2012",31.8039,33.0839,34.60865,35.08518,32.48554444444444,34.87003333333333,445000000,NA,675.6,1991,2011,7,21,14,18,FALSE,188,164,0.8723,NA,Mediterranean Sea
bt_507,bt,507,fish,Fish,Marine,Temperate,Trawl fisheries in Israeli Mediterranean,31.601,32.53508,34.27208,34.81406,31.972028486842106,34.57150064849624,445000000,NA,2405.8,1988,2010,19,23,29,194,FALSE,41,32,0.7805,NA,Mediterranean Sea
bt_512,bt,512,terrestrial plants,Plants,Terrestrial,Temperate,The Hundt 2001 data - Rudolf Hundt,50.597608,51.648703,10.782824,13.052058,51.34006057142857,11.865274285714285,25,NA,7950.9,1964,1994,2,31,13,14,FALSE,144,136,0.9444,Europe,NA
bt_171,bt,171,mammals,Mammals,Marine,Temperate,Bahamas Marine Mammal Research Organisation Opportunistic Sightings (SEAMAP),24.8667,27.2092,-78.0983,-76.9034,26.180757520325205,-77.2736944105691,NA,NA,24839.2,1995,2007,13,13,82,289,FALSE,27,20,0.7407,NA,Atlantic Ocean
bt_516,bt,516,mammals,Mammals,Terrestrial,Tropical,A large-scale fragmentation experiment for Neotropical bats,-2.447695,-2.336515,-60.113215,-59.758385,-2.3908435833333335,-59.91215425,NA,NA,95.9,1997,2013,4,17,12,12,TRUE,41,41,1,South America,NA
bt_321,bt,321,mammals,Mammals,Terrestrial,Temperate,Small Mammal Exclosure Study. Jornada LTER.  SMES rodent trapping data,32.51433,32.596809,-106.862635,-106.768791,32.55493642950392,-106.81603643342036,500000,NA,7.1,1995,2007,13,13,226,583,FALSE,17,16,0.9412,North America,NA
bt_197,bt,197,fish,Fish,Marine,Temperate,Scottish West Coast Surveys - all species of fish (1985 - 2013),54.7513,60.0097,-10.2482,-4,57.35499947407964,-7.13352464312547,NA,NA,154359.8,1985,2013,28,29,33,121,FALSE,104,101,0.9712,NA,Sea of the Hebrides
bt_198,bt,198,fish,Fish,Marine,Temperate,Baltic international demersal trawl surveys,54.0667,58.55,9.7233,21.2467,55.5109572130951,15.798538913538794,NA,NA,289891.2,1991,2013,22,23,281,510,FALSE,58,55,0.9483,NA,Baltic Sea
bt_206,bt,206,fish,Fish,Marine,Temperate,Northern Irish Ground Fish Trawl Survey,50.2233,54.7983,-6.35,-2.9417,52.779849188514355,-4.504535642946317,NA,NA,93276.6,1993,2008,16,16,92,130,FALSE,115,107,0.9304,NA,Irish Sea
bt_208,bt,208,fish,Fish,Marine,Temperate,ICES French Southern Atlantic Bottom Trawl Survey for commercial fish species. ICES Database of trawl surveys (DATRAS),43.691,51.8027,-11.3465,-1.4428,48.252941166803616,-6.436937797863599,NA,NA,321082.4,1997,2007,11,11,94,125,FALSE,189,181,0.9577,NA,Atlantic Ocean
bt_209,bt,209,fish,Fish,Marine,Temperate,ICES Beam Trawl Survey for commercial fish species. ICES Database of trawl surveys (DATRAS) -UK,48.965,58.3337,-2.6317,8.2333,52.69321558628637,2.6828265917603,NA,NA,473384.4,1991,2007,17,17,171,271,FALSE,144,129,0.8958,NA,North Sea
bt_210,bt,210,fish,Fish,Marine,Temperate,ICES North Sea International Bottom Trawl Survey for commercial fish species. ICES Database of trawl surveys (DATRAS),51.0333,61.8833,-3.8333,12.6667,56.486439429471474,3.384900437521876,NA,NA,707690.8,1975,2011,37,37,310,1172,FALSE,247,185,0.749,NA,North Sea
bt_215,bt,215,birds,Birds,Terrestrial,Temperate,Hawk Migration Association of North America (HMANA),35.63333,48.3,-92.03194,-68.21667,41.2442574789916,-76.6029512605042,NA,NA,1788792.3,1985,2008,22,24,14,85,FALSE,17,16,0.9412,North America,NA
bt_219,bt,219,amphibians,Amphibians and reptiles,Terrestrial,Temperate,Marsh Monitoring Program - Amphibian Surveys,40.621,48.8478,-92.4102,-74.3819,43.62921913580247,-80.65209176954733,15707.965,NA,843786.8,1995,2011,17,17,114,301,FALSE,13,11,0.8462,North America,NA
bt_220,bt,220,birds,Birds,Terrestrial,Temperate,Marsh Monitoring Program - Bird Surveys,40.4143,47.7254,-89.4106,-70.1751,43.92171238600212,-79.3297360233298,15707.965,NA,915294.8,1995,2011,14,17,153,340,FALSE,182,180,0.989,North America,NA
bt_244,bt,244,birds,Birds,Marine,Temperate,British Columbia Coastal Waterbirds Survey,48.31282,50.78752,-127.1116,-122.7932,49.24321207964602,-123.84333451327434,785398.25,NA,45459.3,1999,2012,14,14,122,196,FALSE,163,142,0.8712,NA,Salish Sea
bt_256,bt,256,fish,Fish,Marine,Temperate,ICES Beam Trawl Survey for commercial fish species. ICES Database of trawl surveys (DATRAS) - The Netherlands,51.6213,58.4032,-3.3166,8.1658,54.707121896280775,3.9610452592980616,NA,NA,342195.4,1996,2009,14,14,113,155,FALSE,108,100,0.9259,NA,North Sea
bt_309,bt,309,terrestrial invertebrates,Invertebrates,Terrestrial,Temperate,Monitoring the Abundance of Butterflies 1976-1985,50.59712,53.35453,-4.143852,1.634184,51.761065333333335,-0.9164160333333333,25,NA,94445.5,1976,1985,10,10,26,30,FALSE,43,43,1,Europe,NA
bt_331,bt,331,terrestrial plants,Plants,Terrestrial,Temperate,Vegetation Data - post harvest,45.85457,46.38007,-122.0468,-121.5746,46.06275692622951,-121.77265102459016,130000,NA,946.6,1998,2009,4,12,123,452,FALSE,42,35,0.8333,North America,NA
bt_525,bt,525,terrestrial plants,Plants,Freshwater,Tropical,1980s-2010s: The world's largest mangrove ecosystem is becoming homogeneous,21.77732,22.44203,89.0943,89.86369,22.103721272727274,89.491886,NA,NA,4397.8,1986,2014,4,29,110,110,TRUE,25,25,1,NA,Bay of Bengal
bt_527,bt,527,all,Multiple taxa,Marine,Temperate,CWS-EC Eastern Canada Seabirds at Sea (ECSAS),33.59,73.8,-75.03,-26.5,49.95231406592972,-56.29768019933161,NA,NA,10510940.9,2006,2015,10,10,1853,9041,FALSE,126,95,0.754,North America,NA
ft_1,ft,1,fish,Fish,Freshwater,Temperate,NA,41.23651989,42.33616214,1.138923,3.082749,41.97730351777778,2.2085189555555553,NA,NA,8868.4,2003,2017,3,15,27,45,FALSE,27,27,1,Europe,NA
ft_2,ft,2,fish,Fish,Freshwater,Tropical,NA,-20.71771,-19.97309,-51.0495,-49.71044,-20.38034842105263,-50.36889868421053,NA,NA,7622.9,2003,2013,2,11,38,38,TRUE,53,53,1,South America,NA
ft_4,ft,4,fish,Fish,Freshwater,Temperate,NA,46.49488,46.92735,16.42968,17.84632,46.757040810810814,17.25713243243243,NA,NA,3161.6,2007,2018,11,12,30,37,FALSE,41,41,1,Europe,NA
ft_5,ft,5,fish,Fish,Freshwater,Temperate,NA,39.80869,39.86131,-86.9599,-86.87111,39.8351075,-86.92465250000001,NA,NA,6.6,1981,2002,21,22,8,8,TRUE,57,57,1,North America,NA
ft_6,ft,6,fish,Fish,Freshwater,Temperate,NA,-28.31903,-26.05719,151.9771,153.4148,-27.44175136,152.8165552,NA,NA,23465.4,2003,2018,16,16,69,125,FALSE,53,53,1,Australia,NA
ft_7,ft,7,fish,Fish,Freshwater,Polar,NA,60.48918,65.8079,21.50644,29.4046,62.36187622807017,26.091645131578947,NA,NA,155669.2,1999,2017,16,19,51,127,FALSE,28,28,1,Europe,NA
