study,database,studyID,taxon,taxon_new,realm,climate,study_name,min_lat,max_lat,min_long,max_long,cent_lat,cent_long,mean_grain_m2,sd_grain_m2,extent_km2,start_year,end_year,n_years,duration,min_samp,max_samp,nsamp_same,sprich,sprich_range,Psprich_range,continent,ocean
ic_1533,ic,1533,invertebrates,Invertebrates,Terrestrial,Temperate,Brazil bees Pereira,-25.42310989,-25.41938035,-49.31407585,-49.30844913,-25.421840535999998,-49.3116200285,NA,NA,0.1,1955,2018,2,64,20,20,TRUE,27,16,0.5926,South America,NA
ic_1542,ic,1542,invertebrates,Invertebrates,Freshwater,Temperate,England freshwater,52.52151981,54.90089251,-3.5362833,-0.37817002,53.52276317971429,-1.4694945872142857,NA,NA,30649.6,2002,2018,17,17,60,176,FALSE,477,473,0.9916,Europe,NA
ic_1547,ic,1547,invertebrates,Invertebrates,Terrestrial,Temperate,korea moths,35.2767222,35.3758611,127.4783889,127.6352222,35.317328700000004,127.55052315,NA,NA,48.5,2006,2017,8,12,6,6,TRUE,899,751,0.8354,Asia,NA
ic_sfd_1,ic,sfd_1,invertebrates,Invertebrates,Freshwater,Temperate,Chicago_mosquito,41.2,42.52,-95.92,-87.792,41.7492025,-91.2823575,NA,NA,49690.5,1980,2016,37,37,17,27,FALSE,53,49,0.9245,North America,NA
ic_sfd_2,ic,sfd_2,invertebrates,Invertebrates,Terrestrial,Temperate,enc_beetle,50.781933333333335,55.48985277777778,-6.078127777777778,-0.8632166666666666,52.529159848484845,-2.537382575757576,NA,NA,112614.1,1994,2012,13,19,14,22,FALSE,120,112,0.9333,Europe,NA
ic_sfd_3,ic,sfd_3,invertebrates,Invertebrates,Terrestrial,Temperate,enc_butterfly,50.781933333333335,56.90926666666667,-6.078127777777778,-0.3726833333333333,53.39083257575758,-2.3344363636363634,NA,NA,150616.2,1994,2011,17,18,7,11,FALSE,44,42,0.9545,Europe,NA
ic_sfd_4,ic,sfd_4,invertebrates,Invertebrates,Terrestrial,Temperate,enc_moth,50.781933333333335,55.48985277777778,-6.078127777777778,-0.3726833333333333,52.68409722222222,-2.1449876543209876,NA,NA,123878.9,1993,2012,18,20,6,9,FALSE,413,403,0.9758,Europe,NA
ic_sfd_5,ic,sfd_5,invertebrates,Invertebrates,Freshwater,Temperate,IdahoAda_mosquito,43.4904,43.7246,-116.493,-116.241,43.63988333333333,-116.36829166666666,NA,NA,429.4,2007,2019,13,13,12,22,FALSE,16,16,1,North America,NA
ic_sfd_6,ic,sfd_6,invertebrates,Invertebrates,Freshwater,Temperate,Indiana_mosquito,39.6394,39.8949,-86.3226,-85.9762,39.81189166666667,-86.13261666666666,NA,NA,644.5,2008,2019,12,12,12,12,TRUE,31,29,0.9355,North America,NA
ic_sfd_7,ic,sfd_7,invertebrates,Invertebrates,Freshwater,Temperate,LeeFlorida_mosquito,26.3348,26.7208,-81.9783,-81.6029,26.567144444444445,-81.83671666666666,NA,NA,879.5,2008,2018,10,11,17,18,FALSE,29,19,0.6552,North America,NA
ic_sfd_8,ic,sfd_8,invertebrates,Invertebrates,Freshwater,Temperate,Manatee_mosquito,27.273,27.6405,-82.6574,-82.0981,27.493738636363638,-82.41045227272727,NA,NA,1592.8,2007,2020,9,14,37,44,FALSE,47,38,0.8085,North America,NA
ic_sfd_9,ic,sfd_9,invertebrates,Invertebrates,Freshwater,Temperate,Virginia_mosquito,36.596,36.875,-76.87,-76.445,36.76790909090909,-76.56454545454545,NA,NA,390.9,2008,2018,11,11,18,22,FALSE,38,38,1,North America,NA
mr_sfd_1,mr,sfd_1,fish,Fish,Marine,Tropical,amesbury_1999_Gawel transects,13.4225082397461,13.4225082397461,144.675659179688,144.675659179688,13.4225082397461,144.675659179688,100,0,4.054950134844,1974,1999,2,26,4,4,TRUE,175,156,0.8914,Australia,NA
mr_sfd_7,mr,sfd_7,marine plants,Plants,Marine,Temperate,anderson_2019b_Wizard,48.8581962585449,48.8581962585449,-125.15860748291,-125.15860748291,48.8581962585449,-125.15860748291,0.3125,0,0.0173,1997,2007,3,11,5,5,TRUE,25,15,0.6,NA,Pacific Ocean
mr_sfd_8,mr,sfd_8,herpetofauna,Amphibians and reptiles,Terrestrial,Temperate,"arntzen_2017_Western Pas de Calais, France",50.7700004577637,50.7700004577637,1.94599997997284,1.94599997997284,50.7700004577637,1.94599997997284,100,0,300,1975,1992,2,18,66,66,TRUE,12,12,1,Europe,NA
mr_sfd_10,mr,sfd_10,fish,Fish,Marine,Tropical,beldade_2015_Mataiva,-14.9166669845581,-14.9166669845581,-148.600006103516,-148.600006103516,-14.9166669845581,-148.600006103516,250,0,50,1981,2012,2,32,13,13,TRUE,87,75,0.8621,NA,Pacific Ocean
mr_sfd_11,mr,sfd_11,invertebrates,Invertebrates,Freshwater,Temperate,burlakova_2021_Lake Ontario,43.2714004516602,44.1408348083496,-79.5305557250977,-76.4075012207031,43.58277630805969,-77.97426144282025,0.09478125,0.0480668313835572,18960,1990,2018,4,29,20,41,FALSE,75,28,0.3733,North America,NA
mr_sfd_12,mr,sfd_12,fish,Fish,Freshwater,Temperate,cazelles_2019_Ontario,49.25,49.25,-84.5,-84.5,49.25,-84.5,17663601.02874392,31186653.87450518,1076395,1982,2012,2,31,544,544,TRUE,99,81,0.8182,North America,NA
mr_sfd_13,mr,sfd_13,fish,Fish,Freshwater,Temperate,cervantes-yoshida_2015_Alameda Creek Watershed,37.5633316040039,37.5633316040039,-122.130836486816,-122.130836486816,37.5633316040039,-122.130836486816,100,0,1800,1996,2009,2,14,32,32,TRUE,16,16,1,North America,NA
mr_sfd_14,mr,sfd_14,invertebrates,Invertebrates,Terrestrial,Tropical,"chen_2010_Mount Kinabalu, Sabah, Borneo",6.050950050354,6.06581497192383,116.522262573242,116.555740356445,6.062002611160278,116.5374008178712,706.858347057704,0,1.96968805288887,1965,2007,2,43,9,9,TRUE,208,112,0.5385,Asia,NA
